casa	local	tam	prv	util	id	ter	tax	prc
1	bairroD	media	142.0	260.1	60.0	840.0	3167.0	114.1
2	bairroC	media	175.0	167.2	12.0	1290.0	4033.0	163.8
3	bairroB	pequena	129.0	120.8	41.0	990.0	1471.0	115.8
4	bairroC	pequena	138.0	157.9	22.0	1380.0	3204.0	176.2
5	bairroD	media	232.0	232.3	5.0	6150.0	3613.0	272.4
6	bairroD	media	135.0	167.2	9.0	1710.0	3028.0	110.5
7	bairroA	media	150.0	185.8	18.0	12000.0	3131.0	148.9
8	bairroB	media	207.0	204.4	16.0	6660.0	5158.0	227.6
9	bairroD	grande	271.0	278.7	30.0	1590.0	5702.0	276.6
10	bairroD	pequena	89.0	92.9	43.0	900.0	2054.0	94.8
11	bairroA	pequena	153.0	204.4	18.0	1140.0	4127.0	129.2
12	bairroB	pequena	86.5	148.6	50.0	1950.0	1445.0	85.0
13	bairroD	media	234.0	232.3	2.0	4830.0	2087.0	198.6
14	bairroC	media	105.5	185.8	13.0	660.0	2818.0	87.0
15	bairroA	media	175.0	204.4	15.0	6180.0	3917.0	194.1
16	bairroC	media	165.0	157.9	33.0	1380.0	2220.0	159.9
17	bairroD	media	166.0	213.7	37.0	810.0	3498.0	170.9
18	bairroC	pequena	136.0	176.5	22.0	1890.0	3607.0	141.0
19	bairroB	pequena	148.0	157.9	13.0	1080.0	3648.0	107.0
20	bairroC	media	151.0	176.5	24.0	1020.0	3561.0	171.8
21	bairroB	media	180.0	223.0	10.0	4650.0	4681.0	223.2
22	bairroB	media	293.0	241.5	6.0	1380.0	7088.0	263.0
23	bairroA	media	167.0	185.8	46.0	1380.0	3482.0	159.2
24	bairroC	grande	190.0	204.4	37.0	1440.0	3920.0	164.8
25	bairroA	grande	184.0	195.1	27.0	3900.0	4162.0	199.5
26	bairroD	media	157.0	185.8	7.0	900.0	3785.0	127.3
27	bairroC	media	110.0	148.6	26.0	870.0	3103.0	84.2
28	bairroB	media	135.0	167.2	35.0	1290.0	3363.0	120.7
29	bairroB	media	567.0	594.6	4.0	2550.0	12192.0	627.6
30	bairroD	media	180.0	185.8	11.0	3000.0	3831.0	211.6
31	bairroA	pequena	183.0	157.9	16.0	9000.0	3564.0	171.3
32	bairroB	media	185.0	185.8	56.0	19470.0	3765.0	182.8
33	bairroD	media	152.0	157.9	33.0	2100.0	3361.0	140.1
34	bairroA	pequena	148.0	120.8	22.0	1170.0	3950.0	143.5
35	bairroA	pequena	152.0	139.4	25.0	1770.0	3055.0	169.4
36	bairroC	pequena	146.0	148.6	31.0	1080.0	2950.0	137.6
37	bairroC	media	170.0	223.0	33.0	1710.0	3346.0	193.9
38	bairroB	media	127.0	185.8	65.0	1200.0	3334.0	154.3
39	bairroA	grande	265.0	334.4	33.0	3600.0	5853.0	233.5
